Middle Profiles,Doppler Spread (Hz),Selected
33,17.4734,false
45,11.1194,false
57,17.4734,false
69,20.6503,false
81,23.8273,true
93,20.6503,false
105,17.4734,false
117,17.4734,false
129,20.6503,false
141,22.2388,true
153,17.4734,false
165,22.2388,false
177,19.0619,false
189,19.0619,false
201,17.4734,false
213,14.2964,false
225,11.1194,false
237,15.8849,false
249,17.4734,false
261,14.2964,false
273,27.0043,true
285,15.8849,false
297,17.4734,false
309,19.0619,true
321,19.0619,false
333,14.2964,false
345,12.7079,false
357,15.8849,true
369,15.8849,false
381,14.2964,false
393,17.4734,false
405,19.0619,false
417,20.6503,true
429,15.8849,false
441,14.2964,false
453,14.2964,false
465,12.7079,false
477,15.8849,true
489,14.2964,false
501,12.7079,false
513,12.7079,false
525,7.94244,false
537,11.1194,true
549,6.35395,false
561,9.53093,false
573,11.1194,false
585,19.0619,false
597,22.2388,false
609,23.8273,false
621,27.0043,false
633,31.7698,true
645,30.1813,false
657,25.4158,false
669,23.8273,false
681,14.2964,false
693,15.8849,false
705,20.6503,false
717,31.7698,true
729,31.7698,false
741,28.5928,false
753,28.5928,false
765,34.9467,true
777,30.1813,false
789,25.4158,false
801,17.4734,false
813,14.2964,false
825,17.4734,true
837,14.2964,false
849,14.2964,false
861,20.6503,false
873,22.2388,true
885,19.0619,false
897,15.8849,false
909,14.2964,false
921,14.2964,false
933,12.7079,false
945,9.53093,false
957,11.1194,false
969,17.4734,false
981,19.0619,false
993,22.2388,false
1005,27.0043,false
1017,31.7698,true
1029,22.2388,false
1041,17.4734,false
1053,12.7079,false
1065,14.2964,true
1077,14.2964,false
1089,14.2964,false
1101,14.2964,false
1113,12.7079,false
1125,9.53093,false
1137,7.94244,false
1149,6.35395,false
1161,7.94244,false
1173,11.1194,true
1185,11.1194,false
1197,9.53093,false
1209,9.53093,false
1221,15.8849,true
1233,12.7079,false
1245,11.1194,false
1257,11.1194,false
1269,12.7079,false
1281,11.1194,false
1293,14.2964,true
1305,11.1194,false
1317,15.8849,false
1329,19.0619,false
1341,19.0619,false
1353,19.0619,false
1365,23.8273,true
1377,23.8273,false
1389,23.8273,false
1401,15.8849,false
1413,12.7079,false
1425,15.8849,true
1437,11.1194,false
1449,15.8849,false
1461,12.7079,false
1473,14.2964,true
1485,11.1194,false
1497,14.2964,false
1509,12.7079,false
1521,11.1194,false
1533,9.53093,false
1545,9.53093,false
1557,9.53093,false
1569,7.94244,false
1581,23.8273,true
1593,20.6503,false
1605,20.6503,false
1617,25.4158,false
1629,28.5928,false
1641,25.4158,false
1653,30.1813,true
1665,15.8849,false
1677,17.4734,false
1689,15.8849,false
1701,25.4158,false
1713,27.0043,false
1725,27.0043,false
1737,28.5928,false
1749,31.7698,true
1761,30.1813,false
1773,23.8273,false
1785,20.6503,false
1797,20.6503,false
1809,38.1237,false
