Middle Profiles,CPTWLs,Image Contrast,Doppler Spread (Hz)
81,92,11.4861,23.8273
141,36,20.7459,22.2388
273,56,14.5215,27.0043
309,44,13.1715,19.0619
357,44,11.0532,15.8849
417,44,13.7076,20.6503
477,84,14.2988,15.8849
537,116,12.3334,11.1194
633,36,15.3787,31.7698
717,72,10.0014,31.7698
765,72,6.99299,34.9467
825,48,10.587,17.4734
873,116,9.36998,22.2388
1017,88,16.4405,31.7698
1065,112,25.1561,14.2964
1173,88,12.8459,11.1194
1221,68,14.9834,15.8849
1293,36,19.1811,14.2964
1365,116,11.6538,23.8273
1425,120,11.2699,15.8849
1473,72,15.6091,14.2964
1581,96,11.6975,23.8273
1653,124,8.72371,30.1813
1749,52,9.84467,31.7698
