Middle Profiles,Image Contrast,Selected
33,9.89733,false
45,8.67485,false
57,7.98329,false
69,7.66618,false
81,8.41359,true
93,7.84557,false
105,12.5582,false
117,16.1698,false
129,16.9241,true
141,16.2177,false
153,11.5511,false
165,13.1115,false
177,16.0143,true
189,15.9371,false
201,10.1772,false
213,7.29004,false
225,6.01047,false
237,8.4337,false
249,8.52127,false
261,9.7832,true
273,6.15688,false
285,8.10536,false
297,4.2475,false
309,13.6957,false
321,13.7092,false
333,14.9458,true
345,13.3206,false
357,11.0978,false
369,12.7708,true
381,12.4896,false
393,11.6024,false
405,12.4931,true
417,10.3388,false
429,8.32198,false
441,6.91376,false
453,5.35551,false
465,5.18535,false
477,8.58197,true
489,7.13031,false
501,6.10926,false
513,6.9354,false
525,9.27924,true
537,7.3803,false
549,6.68014,false
561,7.32685,false
573,7.84055,false
585,8.63907,false
597,9.55226,false
609,9.86432,false
621,11.0565,false
633,12.5608,true
645,12.3025,false
657,11.1446,false
669,10.807,false
681,14.8158,true
693,14.5648,false
705,14.187,false
717,14.4842,true
729,12.098,false
741,8.51376,false
753,8.12561,false
765,7.83185,false
777,6.4519,false
789,9.49448,false
801,9.64285,true
813,8.83091,false
825,8.7452,false
837,7.43452,false
849,5.26122,false
861,10.2468,true
873,8.62736,false
885,9.97513,false
897,8.91337,false
909,9.53184,true
921,7.18234,false
933,8.15475,false
945,7.06694,false
957,9.97342,false
969,11.804,true
981,10.1127,false
993,10.0361,false
1005,14.5687,false
1017,16.9135,false
1029,18.406,false
1041,22.6755,false
1053,24.8545,false
1065,27.1067,true
1077,14.9736,false
1089,14.9808,false
1101,21.7195,true
1113,21.6907,false
1125,16.189,false
1137,17.9768,false
1149,18.3928,true
1161,11.2832,false
1173,9.49557,false
1185,10.3775,false
1197,13.5745,true
1209,8.90271,false
1221,7.65327,false
1233,12.7955,false
1245,16.903,true
1257,6.87923,false
1269,16.1884,false
1281,14.3512,false
1293,16.1044,false
1305,13.8264,false
1317,22.4428,true
1329,21.0645,false
1341,21.5359,false
1353,22.7954,false
1365,26.3783,true
1377,22.708,false
1389,18.3132,false
1401,15.4715,false
1413,12.2682,false
1425,9.56919,false
1437,8.01028,false
1449,9.40126,false
1461,11.098,false
1473,12.6685,false
1485,12.4021,false
1497,12.7905,true
1509,11.9945,false
1521,9.60143,false
1533,13.414,true
1545,5.52067,false
1557,7.31901,false
1569,12.6699,true
1581,11.6235,false
1593,9.80819,false
1605,9.0028,false
1617,8.40835,false
1629,10.6136,false
1641,13.2396,true
1653,11.8079,false
1665,10.8911,false
1677,8.92112,false
1689,9.36387,false
1701,9.9514,false
1713,11.5326,true
1725,11.199,false
1737,12.8925,false
1749,14.8482,false
