Middle Profiles,CPTWLs,Image Contrast
153,76,28.0738
273,64,19.1834
309,52,23.3496
465,62,26.7175
753,64,21.2752
1101,64,15.4848
1341,64,14.0547
1593,38,14.6228
2037,40,13.3062
2073,76,18.3227
2133,78,13.2285
2493,78,15.1045
2805,64,13.2393
2841,52,19.5548
2877,64,13.1419
3201,54,19.3811
3237,64,19.6045
3381,40,15.9671
3621,58,12.2594
3717,64,16.0043
4305,78,28.4456
4341,64,26.066
4401,58,24.6856
4473,64,29.1288
4749,64,18.6615
5025,64,15.2773
5181,64,22.2022
5637,28,16.2474
5925,62,16.728
6009,76,27.088
